STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,STATE,REGION,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-08,MONTANA,WEST,0.1,1.5,10,29,19,24
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-09,MONTANA,WEST,0,0,0,41,12,26.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-09,MONTANA,WEST,0.4,6,23,27,16,21.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-09,MONTANA,WEST,0,0,0,29,1,15
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-09,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-09,MONTANA,WEST,0.3,8.3,18,26,21,23.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-10,MONTANA,WEST,0,0,0,41,5,23
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-10,MONTANA,WEST,0,0.1,21,31,11,21
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-10,MONTANA,WEST,0,0,0,34,8,21
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-10,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-10,MONTANA,WEST,0.1,1,18,31,24,27.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-11,MONTANA,WEST,0,0,0,40,20,30
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-11,MONTANA,WEST,0.1,0.8,21,30,17,23.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-11,MONTANA,WEST,0,0,0,32,10,21
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-11,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-11,MONTANA,WEST,0.2,1.9,18,33,19,26
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-12,MONTANA,WEST,0,0,0,42,8,25
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-12,MONTANA,WEST,0.2,0.5,20,33,29,31
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-12,MONTANA,WEST,0,0,0,38,7,22.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-12,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-12,MONTANA,WEST,0,0,18,37,30,33.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-13,MONTANA,WEST,0,0,0,47,4,25.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-13,MONTANA,WEST,0,0.8,20,36,30,33
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-13,MONTANA,WEST,0,0,0,41,5,23
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-13,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-13,MONTANA,WEST,0,0,14,37,30,33.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-14,MONTANA,WEST,0,0,0,55,6,30.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-14,MONTANA,WEST,0,0,18,37,18,27.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-14,MONTANA,WEST,0,0,0,45,9,27
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-14,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-14,MONTANA,WEST,0,0,12,37,24,30.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-15,MONTANA,WEST,0.1,1,1,49,20,34.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-15,MONTANA,WEST,0.1,0.8,18,40,17,28.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-15,MONTANA,WEST,0,0,0,54,12,33
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-15,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-15,MONTANA,WEST,0.2,2.7,13,40,24,32
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-16,MONTANA,WEST,0,0,1,24,5,14.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-16,MONTANA,WEST,0.2,2,20,26,14,20
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-16,MONTANA,WEST,0,0,0,33,4,18.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-16,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-16,MONTANA,WEST,0,0.2,13,27,7,17
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-17,MONTANA,WEST,0.2,2,3,30,3,16.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-17,MONTANA,WEST,0,0.3,20,22,14,18
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-17,MONTANA,WEST,0,0,0,28,1,14.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-17,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-17,MONTANA,WEST,0,0.5,13,19,6,12.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-18,MONTANA,WEST,0,0,3,30,2,16
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-18,MONTANA,WEST,0.1,2,21,22,16,19
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-18,MONTANA,WEST,0,0.5,0,36,9,22.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-18,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-18,MONTANA,WEST,0,0,13,40,6,23
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-19,MONTANA,WEST,0,1,4,14,-20,-3
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-19,MONTANA,WEST,0.2,1.4,22,25,19,22
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-19,MONTANA,WEST,0,0,0,14,-6,4
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-19,MONTANA,WEST,0,0,0,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-19,MONTANA,WEST,0,0,14,26,17,21.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-20,MONTANA,WEST,0,0,4,12,1,6.5
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-20,MONTANA,WEST,0.3,3.4,25,28,11,19.5
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-20,MONTANA,WEST,0,1,1,14,0,7
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-20,MONTANA,WEST,0.2,3.5,4,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-20,MONTANA,WEST,0.3,5,17,28,10,19
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-21,MONTANA,WEST,0,0,4,4,-16,-6
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-21,MONTANA,WEST,0.1,1.2,20.8,28.2,-22,3.1
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-21,MONTANA,WEST,0,0,1,2,-5,-1.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-21,MONTANA,WEST,0,0,3,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-21,MONTANA,WEST,0,0,17,12,-14,-1
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-22,MONTANA,WEST,0.1,1,4,29,-23,3
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-22,MONTANA,WEST,0,0,24,13,-9,2
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-22,MONTANA,WEST,0,0,1,23,-8,7.5
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-22,MONTANA,WEST,0,0,3,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-22,MONTANA,WEST,0,0,15,6,-15,-4.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-23,MONTANA,WEST,0,0,4,29,-15,7
USC00248087,"SWAN LAKE, MT US",47.9161,-113.839,944.9,2008-01-23,MONTANA,WEST,0,0,23,17,-11,3
USC00241722,"CHINOOK, MT US",48.5884,-109.2266,737.6,2008-01-23,MONTANA,WEST,0,1,2,31,-5,13
USC00241081,"BRADY 27 ENE THE KNEES, MT US",48.075,-111.2603,1013.5,2008-01-23,MONTANA,WEST,0,0,2,55.1,33.9,44.5
USC00244328,"HUNGRY HORSE DAM, MT US",48.3426,-114.0217,963.2,2008-01-23,MONTANA,WEST,0,0,15,9,-14,-2.5
USC00244386,"INGOMAR 9 E, MT US",46.5676,-107.195,853.4,2008-01-24,MONTANA,WEST,0,0,4,21,-13,4
